lake_name,yr,qlty
Crane Lake,1993,3.0
Cenaiko Lake,1998,4.0
Cenaiko Lake,2010,3.0
Cenaiko Lake,2002,4.0
Cenaiko Lake,2003,4.0
Cenaiko Lake,2001,3.0
Cenaiko Lake,1997,3.0
Cenaiko Lake,2008,3.0
Cenaiko Lake,2007,4.0
Cenaiko Lake,2009,3.0
Cenaiko Lake,2000,4.0
Cenaiko Lake,2005,4.0
Cenaiko Lake,1999,4.0
Cenaiko Lake,2004,4.0
Cenaiko Lake,2006,4.0
Cenaiko Lake,2012,3.0
Cenaiko Lake,2011,3.0
Lac Lavon Lake,2002,4.0
Lac Lavon Lake,2004,4.0
Lac Lavon Lake,2008,3.0
Lac Lavon Lake,1997,4.0
Lac Lavon Lake,2009,4.0
Lac Lavon Lake,2012,4.0
Lac Lavon Lake,2007,4.0
Lac Lavon Lake,2010,4.0
Lac Lavon Lake,1999,4.0
Lac Lavon Lake,1998,4.0
Lac Lavon Lake,2011,3.0
Lac Lavon Lake,2005,4.0
Lac Lavon Lake,2013,4.0
Lac Lavon Lake,2014,4.0
Lac Lavon Lake,2000,4.0
Lac Lavon Lake,2003,4.0
Lac Lavon Lake,2001,4.0
Lac Lavon Lake,2006,4.0
McKusick Lake,1999,1.0
McKusick Lake,2003,2.0
McKusick Lake,2013,2.0
McKusick Lake,2000,3.0
McKusick Lake,1994,1.0
McKusick Lake,2002,2.0
McKusick Lake,2014,2.0
McKusick Lake,2011,2.0
McKusick Lake,2008,2.0
McKusick Lake,1998,1.0
McKusick Lake,1995,1.0
McKusick Lake,1996,1.0
McKusick Lake,1997,2.0
McKusick Lake,2006,2.0
McKusick Lake,2007,2.0
McKusick Lake,2004,3.0
McKusick Lake,2010,3.0
McKusick Lake,2001,3.0
McKusick Lake,2012,3.0
McKusick Lake,2005,2.0
McKusick Lake,2009,3.0
St. Joe Lake,2006,3.0
St. Joe Lake,2011,4.0
St. Joe Lake,2012,4.0
St. Joe Lake,2009,3.0
St. Joe Lake,2005,4.0
St. Joe Lake,2010,4.0
St. Joe Lake,2007,4.0
St. Joe Lake,2014,4.0
St. Joe Lake,2004,4.0
St. Joe Lake,2008,4.0
Colby Lake,1995,0.0
Colby Lake,2006,0.0
Colby Lake,2013,1.0
Colby Lake,1994,1.0
Colby Lake,2000,1.0
Colby Lake,2011,1.0
Colby Lake,1998,0.0
Colby Lake,2008,0.0
Colby Lake,2012,1.0
Colby Lake,2005,1.0
Colby Lake,1996,0.0
Colby Lake,1997,1.0
Colby Lake,1999,1.0
Colby Lake,2002,1.0
Colby Lake,2010,1.0
Colby Lake,2007,1.0
Colby Lake,2014,1.0
Colby Lake,2001,0.0
Colby Lake,2004,1.0
Colby Lake,2003,0.0
Valley Lake,2006,1.0
Valley Lake,2011,2.0
Valley Lake,2005,2.0
Valley Lake,2010,1.0
Valley Lake,1996,1.0
Valley Lake,1997,2.0
Valley Lake,2012,2.0
Valley Lake,2004,2.0
Valley Lake,2013,0.0
Valley Lake,2014,2.0
Valley Lake,2001,3.0
Valley Lake,1995,1.0
Valley Lake,2007,2.0
Valley Lake,2009,3.0
Valley Lake,2002,3.0
Valley Lake,2000,2.0
Valley Lake,2003,3.0
Valley Lake,2008,2.0
McKnight Lake,2010,0.0
McKnight Lake,2006,0.0
McKnight Lake,2014,1.0
McKnight Lake,2013,1.0
McKnight Lake,2012,0.0
McKnight Lake,2009,0.0
McKnight Lake,2008,0.0
McKnight Lake,2011,0.0
Kingsley Lake,2008,4.0
Kingsley Lake,2000,4.0
Kingsley Lake,2006,3.0
Kingsley Lake,2010,4.0
Kingsley Lake,2005,4.0
Kingsley Lake,2001,3.0
Kingsley Lake,2009,4.0
Kingsley Lake,2007,4.0
Kingsley Lake,2011,4.0
Kingsley Lake,1996,4.0
Kingsley Lake,2004,4.0
Kingsley Lake,1997,4.0
Kingsley Lake,2002,4.0
Kingsley Lake,1995,3.0
Kingsley Lake,2003,3.0
Kingsley Lake,1993,4.0
Kingsley Lake,2014,4.0
Hornbean Lake,2007,2.0
Hornbean Lake,2006,2.0
Hornbean Lake,2008,3.0
Powers Lake,1997,3.0
Powers Lake,2010,2.0
Powers Lake,2012,4.0
Powers Lake,1998,2.0
Powers Lake,1996,4.0
Powers Lake,2013,4.0
Powers Lake,1999,4.0
Powers Lake,2009,3.0
Powers Lake,2008,3.0
Powers Lake,2002,2.0
Powers Lake,1995,3.0
Powers Lake,2003,3.0
Powers Lake,2006,2.0
Powers Lake,2014,3.0
Powers Lake,2005,2.0
Powers Lake,2011,2.0
Powers Lake,1994,4.0
Powers Lake,2007,2.0
Powers Lake,2001,2.0
Powers Lake,2004,2.0
Powers Lake,2000,3.0
Karth Lake,2014,3.0
Karth Lake,2007,2.0
Karth Lake,2009,2.0
Karth Lake,2011,3.0
Karth Lake,2012,3.0
Karth Lake,2013,3.0
Karth Lake,2008,2.0
Karth Lake,2010,2.0
South Rice Lake,2001,1.0
South Rice Lake,2007,1.0
South Rice Lake,2008,1.0
South Rice Lake,2005,1.0
South Rice Lake,2000,0.0
South Rice Lake,2002,1.0
South Rice Lake,2006,1.0
South Rice Lake,2003,1.0
South Rice Lake,2004,2.0
Lost Lake,2007,2.0
Lost Lake,2006,2.0
Lost Lake,2008,3.0
Simley Lake,1997,3.0
Simley Lake,2000,2.0
Simley Lake,1993,2.0
Simley Lake,2002,2.0
Simley Lake,1998,3.0
Simley Lake,1999,2.0
Simley Lake,1995,2.0
Simley Lake,2012,2.0
Simley Lake,2001,2.0
Simley Lake,2013,2.0
Simley Lake,1996,3.0
Clear Lake,1999,3.0
Clear Lake,1994,3.0
Clear Lake,1980,2.0
Clear Lake,1996,3.0
Clear Lake,2006,2.0
Clear Lake,2009,2.0
Clear Lake,1984,2.0
Clear Lake,1997,3.0
Clear Lake,1995,3.0
Clear Lake,1998,3.0
Clear Lake,2003,3.0
Clear Lake,2014,4.0
Clear Lake,2010,4.0
Clear Lake,2008,4.0
Clear Lake,2002,3.0
Clear Lake,2000,2.0
Clear Lake,1993,2.0
Clear Lake,2001,2.0
Dan Patch Lake,1997,4.0
East Lake,2013,1.0
East Lake,2012,0.0
East Lake,2005,0.0
East Lake,2007,0.0
East Lake,2014,2.0
East Lake,2008,1.0
East Lake,2011,0.0
East Lake,2010,1.0
Oneka Lake,2000,3.0
Oneka Lake,1983,2.0
Oneka Lake,1981,3.0
Oneka Lake,1992,3.0
Oneka Lake,2001,2.0
Oneka Lake,1987,3.0
Oneka Lake,1985,3.0
Oneka Lake,1990,2.0
Oneka Lake,2004,3.0
Oneka Lake,2002,2.0
Oneka Lake,1991,2.0
Oneka Lake,2003,3.0
Oneka Lake,1999,3.0
Moody Lake,2010,1.0
Moody Lake,2014,1.0
Moody Lake,2005,1.0
Moody Lake,2011,1.0
Moody Lake,2012,1.0
Moody Lake,2006,1.0
Moody Lake,2013,1.0
Elmo Lake,2005,4.0
Elmo Lake,1982,3.0
Elmo Lake,1981,4.0
Elmo Lake,1994,4.0
Elmo Lake,1984,3.0
Elmo Lake,1988,4.0
Elmo Lake,2006,4.0
Elmo Lake,2008,4.0
Elmo Lake,2010,4.0
Elmo Lake,2013,4.0
Elmo Lake,2009,4.0
Elmo Lake,2012,4.0
Elmo Lake,1980,3.0
Elmo Lake,2014,4.0
Elmo Lake,2007,4.0
Elmo Lake,1991,4.0
Elmo Lake,2011,3.0
Lower Prior Lake,2010,3.0
Lower Prior Lake,1999,3.0
Lower Prior Lake,1997,4.0
Lower Prior Lake,2002,2.5
Lower Prior Lake,2009,4.0
Lower Prior Lake,2003,3.0
Lower Prior Lake,2005,4.0
Lower Prior Lake,2006,3.0
Lower Prior Lake,2011,4.0
Lower Prior Lake,2001,2.5
Lower Prior Lake,2008,3.0
Lower Prior Lake,2007,3.0
Lower Prior Lake,2013,4.0
Lower Prior Lake,1998,2.5
Lower Prior Lake,1996,3.0
Lower Prior Lake,1992,2.0
Lower Prior Lake,2004,3.0
Lower Prior Lake,1980,2.0
Lower Prior Lake,2000,3.0
Lower Prior Lake,2014,3.0
Lower Prior Lake,1984,3.0
Lower Prior Lake,2012,4.0
Levander Pond,2010,0.0
Levander Pond,2011,0.0
Grass Lake,1997,0.0
Gaystock Lake,2006,0.0
Gaystock Lake,2001,0.0
Gaystock Lake,2005,0.0
Gaystock Lake,2000,1.0
Keller Lake,2002,2.0
Keller Lake,2010,1.0
Keller Lake,2004,2.0
Keller Lake,2013,1.0
Keller Lake,2001,1.0
Keller Lake,2007,2.0
Keller Lake,1997,1.0
Keller Lake,1998,3.0
Keller Lake,2009,1.0
Keller Lake,2008,3.0
Keller Lake,2005,2.0
Keller Lake,1999,1.0
Keller Lake,2003,1.0
Keller Lake,2011,1.0
Keller Lake,2012,1.0
Keller Lake,1996,1.0
Keller Lake,2014,1.0
Keller Lake,2006,1.0
Keller Lake,2000,1.0
Langton Lake,2006,2.0
Deeg Lake,2001,1.0
Hay Lake,2009,2.0
Hay Lake,2000,1.0
Hay Lake,2011,2.0
Hay Lake,1999,1.0
Hay Lake,2005,1.0
Hay Lake,2006,2.0
Hay Lake,2004,1.0
Hay Lake,2010,2.0
Hay Lake,2001,1.0
Hay Lake,1998,1.0
Hay Lake,2007,2.0
Hay Lake,2008,2.0
Hay Lake,2003,2.0
McCarrons Lake,1994,3.0
McCarrons Lake,1995,2.0
McCarrons Lake,1993,2.0
McCarrons Lake,2001,3.0
McCarrons Lake,2000,2.0
McCarrons Lake,2004,2.0
McCarrons Lake,1986,3.0
McCarrons Lake,1985,2.0
McCarrons Lake,1984,3.0
McCarrons Lake,2002,2.0
McCarrons Lake,1989,2.0
McCarrons Lake,1988,2.0
McCarrons Lake,1991,2.0
McCarrons Lake,1999,2.0
McCarrons Lake,1987,2.0
McCarrons Lake,1996,2.0
McCarrons Lake,2005,4.0
Schmidt Lake,2001,2.0
Schmidt Lake,1995,2.0
Schmidt Lake,2011,4.0
Schmidt Lake,2005,2.0
Schmidt Lake,2004,2.0
Schmidt Lake,1998,2.0
Schmidt Lake,2007,3.0
Schmidt Lake,2000,2.0
Maple Marsh Lake,2001,1.0
Maple Marsh Lake,1998,0.0
Maple Marsh Lake,1997,1.0
Maple Marsh Lake,1999,1.0
Maple Marsh Lake,2000,1.0
Maple Marsh Lake,2007,1.0
Edina Lake,2005,1.0
Edina Lake,2004,1.0
Markgraf Lake,2001,1.0
Markgraf Lake,1995,2.0
Markgraf Lake,1999,1.0
Markgraf Lake,2012,0.0
Markgraf Lake,2003,1.0
Markgraf Lake,2002,1.0
Markgraf Lake,2009,0.0
Markgraf Lake,2008,1.0
Markgraf Lake,1994,1.0
Markgraf Lake,2010,0.0
Markgraf Lake,2005,1.0
Markgraf Lake,1996,2.0
Markgraf Lake,2007,1.0
Markgraf Lake,1998,0.0
Markgraf Lake,2000,2.0
Markgraf Lake,2011,1.0
Markgraf Lake,2004,1.0
Markgraf Lake,2006,0.0
Markgraf Lake,1997,1.0
Markgraf Lake,2013,1.0
Markgraf Lake,2014,1.0
Big Carnelian Lake,1980,4.0
Big Carnelian Lake,1997,4.0
Big Carnelian Lake,1994,4.0
Big Carnelian Lake,2013,4.0
Big Carnelian Lake,2007,4.0
Big Carnelian Lake,2010,4.0
Big Carnelian Lake,1991,4.0
Big Carnelian Lake,1996,4.0
Big Carnelian Lake,2012,4.0
Big Carnelian Lake,1998,4.0
Big Carnelian Lake,2000,4.0
Big Carnelian Lake,1999,3.0
Big Carnelian Lake,2001,4.0
Big Carnelian Lake,1984,3.0
Big Carnelian Lake,2002,4.0
Big Carnelian Lake,2014,4.0
Big Carnelian Lake,2006,4.0
Big Carnelian Lake,2004,4.0
Big Carnelian Lake,2005,4.0
Big Carnelian Lake,1989,4.0
Big Carnelian Lake,2003,3.0
Coon Lake,1994,3.0
Coon Lake,1984,2.0
Coon Lake,1980,2.0
Coon Lake,1997,3.0
Hidden Lake,2011,3.0
Hart Lake,2006,0.0
Hart Lake,2005,0.0
Long Lake,1995,1.5
Long Lake,1993,2.5
Long Lake,1994,2.0
Long Lake,1996,1.5
Long Lake,2003,1.5714285714285714
Long Lake,1984,2.0
Twin Lake,1985,3.0
Parkers Lake,2000,4.0
Parkers Lake,2008,3.0
Parkers Lake,2004,3.0
Parkers Lake,2006,3.0
Parkers Lake,1980,2.0
Parkers Lake,2012,3.0
Parkers Lake,2005,3.0
Parkers Lake,2009,3.0
Parkers Lake,2007,3.0
Parkers Lake,1995,2.0
Parkers Lake,2002,4.0
Parkers Lake,2010,4.0
Parkers Lake,2003,3.0
Parkers Lake,1999,2.0
Cedar Lake,1984,1.0
Cedar Lake,2005,2.0
Cedar Lake,1998,1.0
Cedar Lake,1981,1.0
Cedar Lake,1980,0.0
Cedar Lake,1993,1.0
Cedar Lake,2001,0.0
Rose Lake,2006,1.0
Rose Lake,2007,1.0
Priebe Lake,2008,0.0
Priebe Lake,2011,1.0
Priebe Lake,2012,0.0
Priebe Lake,2009,1.0
Ardmore Lake,2010,0.0
Ardmore Lake,2009,0.0
Ardmore Lake,2007,0.0
Ardmore Lake,2008,0.0
Marshan Lake,1985,1.0
Marshan Lake,1987,0.0
Marshan Lake,2001,0.0
Marshan Lake,1983,1.0
Marshan Lake,1996,0.0
Marshan Lake,1989,1.0
Marshan Lake,1998,1.0
Marshan Lake,1999,0.0
Marshan Lake,1990,1.0
Marshan Lake,1981,1.0
Marshan Lake,1988,1.0
Marshan Lake,2000,0.0
Marshan Lake,1997,0.0
Jane Lake,2007,4.0
Jane Lake,2005,4.0
Jane Lake,1987,3.0
Jane Lake,2009,4.0
Jane Lake,2006,4.0
Jane Lake,1986,3.0
Jane Lake,1991,3.0
Jane Lake,2008,4.0
Jane Lake,2000,4.0
Jane Lake,2011,4.0
Jane Lake,2010,4.0
Jane Lake,1994,4.0
Jane Lake,1984,2.0
Jane Lake,2004,4.0
Windsor Lake,2005,1.0
Windsor Lake,2004,0.0
Carver Lake,1987,1.0
Carver Lake,1995,2.0
Carver Lake,1996,3.0
Carver Lake,1986,2.0
Carver Lake,1994,2.0
Carver Lake,1984,2.0
Carver Lake,1988,2.0
Carver Lake,1993,2.0
Carver Lake,1983,2.0
Carver Lake,1985,2.0
Gables Lake,1999,1.0
Gables Lake,1998,1.0
Kramer Pond,2008,0.0
Kramer Pond,2012,0.0
Kramer Pond,2013,1.0
Kramer Pond,2009,0.0
Kramer Pond,2010,0.0
Kramer Pond,2014,0.0
Mergens Pond,2008,0.0
Mergens Pond,2005,2.0
Mergens Pond,2000,1.0
German Lake,2003,3.0
German Lake,2004,3.0
German Lake,2005,3.0
German Lake,2002,3.0
German Lake,2007,3.0
German Lake,2006,3.0
East Boot Lake,2001,2.0
East Boot Lake,1996,3.0
East Boot Lake,2007,3.0
East Boot Lake,2006,3.0
East Boot Lake,2013,4.0
East Boot Lake,2000,2.0
East Boot Lake,2009,4.0
East Boot Lake,2004,3.0
East Boot Lake,2003,2.0
East Boot Lake,2011,3.0
East Boot Lake,2005,3.0
East Boot Lake,2014,4.0
East Boot Lake,1999,2.0
East Boot Lake,2012,3.0
East Boot Lake,1997,3.0
East Boot Lake,1998,3.0
East Boot Lake,2008,3.0
East Boot Lake,2002,2.0
East Boot Lake,2010,4.0
Reshanau Lake,2013,1.0
Reshanau Lake,2007,1.0
Reshanau Lake,2008,1.0
Reshanau Lake,2012,1.0
Reshanau Lake,2009,1.0
Reshanau Lake,2006,1.0
Reshanau Lake,2011,1.0
Reshanau Lake,2010,1.0
Jellums Lake,1996,1.0
Jellums Lake,2007,2.0
Jellums Lake,2006,1.0
Jellums Lake,2010,2.0
Jellums Lake,1997,1.0
Jellums Lake,2001,1.0
Jellums Lake,2011,2.0
Jellums Lake,2000,0.0
Jellums Lake,2005,1.0
Jellums Lake,1998,1.0
Jellums Lake,1999,1.0
Jellums Lake,2009,3.0
Jellums Lake,2008,2.0
Jellums Lake,2003,1.0
Jellums Lake,2002,1.0
Jellums Lake,2004,1.0
Weber Pond,2006,2.0
Weber Pond,2010,3.0
Weber Pond,2009,3.0
Horseshoe Lake,1996,2.0
Horseshoe Lake,2009,2.3333333333333335
Horseshoe Lake,2007,3.0
Horseshoe Lake,2014,2.0
Horseshoe Lake,2011,3.0
Horseshoe Lake,2006,3.0
Horseshoe Lake,2010,2.5
Horseshoe Lake,1995,3.0
Horseshoe Lake,2008,3.0
Horseshoe Lake,2012,2.0
Horseshoe Lake,2013,2.0
Jackson WMA,2010,2.0
Jackson WMA,2011,2.0
Jackson WMA,2013,3.0
Jackson WMA,2014,2.0
Jackson WMA,2012,2.0
DuBay Lake,2013,3.0
DuBay Lake,2012,3.0
Battle Creek Lake,1993,2.0
Battle Creek Lake,1994,2.0
Battle Creek Lake,1996,2.0
Battle Creek Lake,1995,2.0
Little Comfort Lake,1994,2.0
Little Comfort Lake,2007,3.0
Little Comfort Lake,2010,3.0
Little Comfort Lake,2006,2.0
Little Comfort Lake,2009,3.0
Little Comfort Lake,2011,2.0
Little Comfort Lake,2008,2.0
Little Comfort Lake,2012,2.0
Little Comfort Lake,2013,2.0
Little Comfort Lake,2014,2.0
Lucy Lake,2012,2.0
Lucy Lake,1985,2.0
Lucy Lake,2013,2.0
Lucy Lake,2009,2.0
Lucy Lake,2014,2.0
Lucy Lake,2010,2.0
Lucy Lake,2011,2.0
Byllesby Lake,2014,1.0
Byllesby Lake,2013,1.0
Normandale Lake,2011,2.0
Normandale Lake,2006,2.0
Normandale Lake,2009,3.0
Normandale Lake,2007,3.0
Normandale Lake,2010,2.0
Normandale Lake,2012,2.0
Lily Lake,2006,2.0
Lily Lake,2013,3.0
Lily Lake,2001,3.0
Lily Lake,2004,2.0
Lily Lake,2010,3.0
Lily Lake,1997,2.0
Lily Lake,2003,2.0
Lily Lake,2012,2.0
Lily Lake,1998,2.0
Lily Lake,2009,3.0
Lily Lake,1996,2.0
Lily Lake,2005,2.0
Lily Lake,2007,2.0
Lily Lake,2008,2.0
Lily Lake,2014,4.0
Lily Lake,1995,3.0
Lily Lake,1999,2.0
Lily Lake,2000,2.0
Lily Lake,2002,2.0
Hafften Lake,2014,2.0
Hafften Lake,2013,2.0
Hafften Lake,2006,2.0
Hafften Lake,2010,2.0
Hafften Lake,2001,2.0
Hafften Lake,2004,2.0
Hafften Lake,2005,2.0
Hafften Lake,2000,2.0
Carol Lake,2007,3.0
Carol Lake,1999,3.0
Carol Lake,2005,2.0
Carol Lake,1996,3.0
Carol Lake,1998,3.0
Carol Lake,2004,2.0
Carol Lake,2006,2.0
Carol Lake,1997,3.0
Carol Lake,2001,3.0
Carol Lake,2000,3.0
Carol Lake,2003,2.0
Stieger Lake,1989,2.0
Stieger Lake,1984,3.0
Stieger Lake,1995,3.0
Fireman's Clayhole Lake,2005,4.0
Fireman's Clayhole Lake,2004,4.0
Fireman's Clayhole Lake,2009,3.0
Fireman's Clayhole Lake,2001,4.0
Fireman's Clayhole Lake,2003,4.0
Fireman's Clayhole Lake,2013,3.0
Fireman's Clayhole Lake,2011,4.0
Fireman's Clayhole Lake,2007,4.0
Fireman's Clayhole Lake,2010,3.0
Fireman's Clayhole Lake,2012,3.0
Fireman's Clayhole Lake,2002,4.0
Fireman's Clayhole Lake,2006,3.0
Fireman's Clayhole Lake,2014,4.0
Fireman's Clayhole Lake,2008,4.0
Tanners Lake,1983,3.0
Tanners Lake,1987,3.0
Tanners Lake,1995,3.0
Tanners Lake,1984,2.0
Tanners Lake,1985,3.0
Tanners Lake,1988,3.0
Tanners Lake,1980,3.0
Tanners Lake,1986,3.0
Tanners Lake,1993,3.0
Tanners Lake,1994,3.0
Tanners Lake,1996,3.0
Cedar Lake,2011,1.0
Cedar Lake,2006,1.0
Cedar Lake,2007,1.0
Cedar Lake,2008,1.0
Cedar Lake,2010,1.0
Bush Lake,1994,4.0
Bush Lake,2011,4.0
Bush Lake,2006,4.0
Bush Lake,2001,4.0
Bush Lake,2004,3.0
Bush Lake,2010,4.0
Bush Lake,1993,4.0
Bush Lake,2009,4.0
Bush Lake,2012,3.0
Bush Lake,2013,4.0
Bush Lake,1984,4.0
Bush Lake,2007,3.0
Bush Lake,1983,3.0
Bush Lake,1999,3.0
Bush Lake,2008,4.0
Bush Lake,2014,4.0
Zumbra Lake,1984,3.0
Zumbra Lake,2002,3.0
Bass Lake,2008,2.5
Bass Lake,2006,2.6666666666666665
Bass Lake,2013,3.0
Bass Lake,2007,2.5
Bass Lake,2009,2.3333333333333335
Bass Lake,2010,2.5
Bass Lake,2011,2.6666666666666665
Bass Lake,2012,3.3333333333333335
Bass Lake,2014,3.0
Riley Lake,1981,2.0
Riley Lake,1980,2.0
Pike Lake,2000,1.3333333333333333
Pike Lake,2001,1.0
Pike Lake,2002,0.6666666666666666
Pike Lake,1999,1.0
Pike Lake,2005,0.5
Pike Lake,2004,0.5
Pike Lake,2006,1.0
Pike Lake,1998,1.0
Pike Lake,2007,1.5
Pike Lake,2011,2.0
Pike Lake,1997,2.0
Pike Lake,2003,0.5
Pike Lake,1996,2.0
Pike Lake,2008,1.0
Pike Lake,2009,1.0
Marcott Lake,2013,3.0
Marcott Lake,1999,4.0
Marcott Lake,2002,3.0
Marcott Lake,1995,3.0
